time 00h 00m 10s, episodes 58, frames 0.0M, mean epr -535.02, run loss 1319.14
time 00h 00m 20s, episodes 165, frames 0.0M, mean epr -775.45, run loss 2676.98
time 00h 00m 30s, episodes 274, frames 0.0M, mean epr -556.27, run loss 2666.98
time 00h 00m 40s, episodes 387, frames 0.0M, mean epr -557.59, run loss 4890.76
time 00h 00m 50s, episodes 489, frames 0.1M, mean epr -415.14, run loss 2538.61
time 00h 01m 00s, episodes 598, frames 0.1M, mean epr -472.14, run loss 1966.55
time 00h 01m 10s, episodes 705, frames 0.1M, mean epr -377.14, run loss 1745.95
time 00h 01m 20s, episodes 803, frames 0.1M, mean epr -672.72, run loss 3281.82
time 00h 01m 30s, episodes 904, frames 0.1M, mean epr -552.18, run loss 3601.36
time 00h 01m 40s, episodes 1012, frames 0.1M, mean epr -325.47, run loss 1395.84
time 00h 01m 51s, episodes 1119, frames 0.1M, mean epr -373.08, run loss 2744.69
time 00h 02m 01s, episodes 1225, frames 0.1M, mean epr -555.37, run loss 2559.93
time 00h 02m 11s, episodes 1337, frames 0.1M, mean epr -574.22, run loss 2190.50
time 00h 02m 21s, episodes 1438, frames 0.2M, mean epr -690.48, run loss 2727.52
time 00h 02m 31s, episodes 1530, frames 0.2M, mean epr -267.43, run loss 1376.16
time 00h 02m 42s, episodes 1669, frames 0.2M, mean epr -74.33, run loss 283.60
time 00h 02m 52s, episodes 1736, frames 0.2M, mean epr -230.27, run loss 1463.70
time 00h 03m 02s, episodes 1818, frames 0.2M, mean epr -350.10, run loss 1620.79
time 00h 03m 12s, episodes 1886, frames 0.2M, mean epr -402.56, run loss 2564.06
time 00h 03m 22s, episodes 1942, frames 0.2M, mean epr -370.78, run loss 1191.70
time 00h 03m 33s, episodes 2040, frames 0.2M, mean epr -121.31, run loss 784.85
time 00h 03m 43s, episodes 2117, frames 0.2M, mean epr -282.47, run loss 2586.16
time 00h 03m 54s, episodes 2187, frames 0.2M, mean epr 46.21, run loss 413.85
time 00h 04m 05s, episodes 2246, frames 0.2M, mean epr -210.21, run loss 1098.79
time 00h 04m 15s, episodes 2297, frames 0.3M, mean epr -270.42, run loss 926.53
time 00h 04m 25s, episodes 2339, frames 0.3M, mean epr -138.35, run loss 1182.45
time 00h 04m 35s, episodes 2386, frames 0.3M, mean epr -15.92, run loss 127.36
