time 00h 00m 05s, episodes 4, frames 0.001656M, mean epr -158.41, run loss 530.85
time 00h 00m 10s, episodes 30, frames 0.005791M, mean epr -43.60, run loss 174.76
time 00h 00m 15s, episodes 72, frames 0.010654M, mean epr -595.48, run loss 2273.91
time 00h 00m 21s, episodes 115, frames 0.015245M, mean epr -445.69, run loss 2698.21
time 00h 00m 26s, episodes 153, frames 0.019520M, mean epr -663.28, run loss 2875.70
time 00h 00m 31s, episodes 191, frames 0.023668M, mean epr -614.37, run loss 2338.41
time 00h 00m 37s, episodes 238, frames 0.029155M, mean epr -788.67, run loss 4142.76
time 00h 00m 43s, episodes 277, frames 0.033689M, mean epr -428.34, run loss 1785.45
time 00h 00m 48s, episodes 316, frames 0.037964M, mean epr -610.44, run loss 3042.01
time 00h 00m 53s, episodes 367, frames 0.042804M, mean epr -663.18, run loss 5346.82
time 00h 00m 58s, episodes 413, frames 0.047079M, mean epr -372.03, run loss 880.20
time 00h 01m 03s, episodes 461, frames 0.051380M, mean epr -446.52, run loss 1747.52
time 00h 01m 09s, episodes 505, frames 0.055962M, mean epr -394.04, run loss 1218.33
time 00h 01m 14s, episodes 555, frames 0.060613M, mean epr -308.45, run loss 4016.61
time 00h 01m 20s, episodes 600, frames 0.065849M, mean epr -467.18, run loss 2543.34
time 00h 01m 25s, episodes 639, frames 0.070171M, mean epr -447.95, run loss 3073.81
time 00h 01m 30s, episodes 674, frames 0.074546M, mean epr -416.30, run loss 1522.49
time 00h 01m 36s, episodes 711, frames 0.079082M, mean epr -688.58, run loss 2482.18
time 00h 01m 41s, episodes 765, frames 0.083744M, mean epr -395.55, run loss 2300.57
time 00h 01m 47s, episodes 823, frames 0.089066M, mean epr -410.97, run loss 1280.46
time 00h 01m 52s, episodes 871, frames 0.093547M, mean epr -648.09, run loss 2273.86
time 00h 01m 57s, episodes 913, frames 0.097723M, mean epr -554.80, run loss 2509.72
time 00h 02m 02s, episodes 951, frames 0.101582M, mean epr -424.48, run loss 1551.97
time 00h 02m 08s, episodes 990, frames 0.106308M, mean epr -554.88, run loss 2078.04
time 00h 02m 13s, episodes 1018, frames 0.110204M, mean epr -836.69, run loss 4337.37
time 00h 02m 19s, episodes 1056, frames 0.114690M, mean epr -724.75, run loss 2777.43
time 00h 02m 24s, episodes 1095, frames 0.118890M, mean epr -541.36, run loss 1806.20
time 00h 02m 29s, episodes 1117, frames 0.123065M, mean epr -514.37, run loss 1430.28
time 00h 02m 35s, episodes 1152, frames 0.127813M, mean epr -617.01, run loss 1959.89
time 00h 02m 41s, episodes 1182, frames 0.133014M, mean epr -623.85, run loss 2350.42
time 00h 02m 46s, episodes 1207, frames 0.137090M, mean epr -914.45, run loss 5664.33
time 00h 02m 51s, episodes 1242, frames 0.141316M, mean epr -351.16, run loss 1895.73
time 00h 02m 56s, episodes 1271, frames 0.145554M, mean epr -334.84, run loss 1713.51
time 00h 03m 01s, episodes 1298, frames 0.149540M, mean epr -189.11, run loss 1307.40
