time 00h 00m 10s, episodes 35, frames 0.006293M, mean epr -449.84, run loss 1428.94
time 00h 00m 20s, episodes 142, frames 0.017672M, mean epr -398.55, run loss 1451.43
time 00h 00m 30s, episodes 256, frames 0.029079M, mean epr -263.87, run loss 1283.62
time 00h 00m 40s, episodes 311, frames 0.030615M, mean epr -408.60, run loss 2784.00  这是假的
time 00h 00m 40s, episodes 367, frames 0.040615M, mean epr -553.33, run loss 2784.00
time 00h 00m 50s, episodes 489, frames 0.051779M, mean epr -95.39, run loss 560.33
time 00h 01m 00s, episodes 585, frames 0.061393M, mean epr -376.44, run loss 1809.83
time 00h 01m 10s, episodes 661, frames 0.069529M, mean epr -569.09, run loss 2573.82
time 00h 01m 20s, episodes 741, frames 0.078693M, mean epr -392.46, run loss 2224.25
time 00h 01m 31s, episodes 803, frames 0.087265M, mean epr -523.60, run loss 3233.20
time 00h 01m 41s, episodes 862, frames 0.094625M, mean epr -248.01, run loss 982.81
time 00h 01m 52s, episodes 924, frames 0.102227M, mean epr -492.34, run loss 2125.94
time 00h 02m 02s, episodes 986, frames 0.109013M, mean epr -630.50, run loss 2312.59
time 00h 02m 12s, episodes 1043, frames 0.115603M, mean epr -375.89, run loss 2055.04
time 00h 02m 24s, episodes 1120, frames 0.123088M, mean epr -636.05, run loss 2935.60
time 00h 02m 36s, episodes 1170, frames 0.127885M, mean epr -740.25, run loss 2628.91
time 00h 02m 46s, episodes 1206, frames 0.133377M, mean epr -626.70, run loss 2659.60
time 00h 02m 56s, episodes 1255, frames 0.138964M, mean epr -424.39, run loss 2121.57
time 00h 03m 07s, episodes 1310, frames 0.144753M, mean epr -373.58, run loss 2026.63
time 00h 03m 17s, episodes 1357, frames 0.149403M, mean epr -216.14, run loss 708.90
time 00h 03m 28s, episodes 1404, frames 0.154189M, mean epr -203.03, run loss 1237.45
time 00h 03m 39s, episodes 1431, frames 0.158877M, mean epr -394.05, run loss 2252.95
time 00h 03m 50s, episodes 1476, frames 0.163862M, mean epr -657.29, run loss 2956.50
time 00h 04m 01s, episodes 1520, frames 0.168377M, mean epr -325.08, run loss 1611.11
time 00h 04m 11s, episodes 1550, frames 0.172690M, mean epr -569.82, run loss 2363.87
time 00h 04m 22s, episodes 1587, frames 0.177312M, mean epr -208.47, run loss 3044.07
time 00h 04m 33s, episodes 1634, frames 0.181989M, mean epr -320.70, run loss 1758.43
time 00h 04m 44s, episodes 1671, frames 0.186356M, mean epr -488.29, run loss 2215.96
time 00h 04m 55s, episodes 1708, frames 0.190927M, mean epr -485.37, run loss 2315.21
time 00h 05m 06s, episodes 1744, frames 0.195439M, mean epr -409.96, run loss 2650.87
time 00h 05m 17s, episodes 1779, frames 0.199950M, mean epr -184.49, run loss 1088.98
time 00h 05m 28s, episodes 1815, frames 0.204236M, mean epr -297.62, run loss 1407.09
time 00h 05m 38s, episodes 1842, frames 0.208602M, mean epr -546.32, run loss 2195.99
time 00h 05m 50s, episodes 1886, frames 0.213433M, mean epr -568.65, run loss 2382.90
time 00h 06m 00s, episodes 1923, frames 0.217678M, mean epr -280.89, run loss 1843.26
time 00h 06m 10s, episodes 1950, frames 0.221885M, mean epr -693.64, run loss 2937.02
time 00h 06m 21s, episodes 2001, frames 0.226526M, mean epr -754.65, run loss 3380.65
time 00h 06m 32s, episodes 2035, frames 0.231180M, mean epr -765.71, run loss 3556.31
time 00h 06m 43s, episodes 2076, frames 0.235480M, mean epr -501.42, run loss 1905.36
time 00h 06m 55s, episodes 2132, frames 0.240444M, mean epr -515.27, run loss 2482.15
time 00h 07m 05s, episodes 2171, frames 0.244958M, mean epr -445.37, run loss 1951.02
time 00h 07m 18s, episodes 2215, frames 0.250339M, mean epr -245.52, run loss 1346.86
time 00h 07m 28s, episodes 2248, frames 0.254695M, mean epr -163.13, run loss 1758.91
time 00h 07m 39s, episodes 2286, frames 0.259234M, mean epr -157.03, run loss 397.18
time 00h 07m 51s, episodes 2320, frames 0.263974M, mean epr -134.60, run loss 1149.94
time 00h 08m 02s, episodes 2343, frames 0.268518M, mean epr -338.73, run loss 1314.38
time 00h 08m 13s, episodes 2377, frames 0.273048M, mean epr -162.53, run loss 1327.03
time 00h 08m 23s, episodes 2410, frames 0.277607M, mean epr -256.73, run loss 1510.49
time 00h 08m 34s, episodes 2446, frames 0.281801M, mean epr -363.03, run loss 1923.93
time 00h 08m 44s, episodes 2494, frames 0.285845M, mean epr -304.41, run loss 1903.89
time 00h 08m 55s, episodes 2537, frames 0.290695M, mean epr -303.41, run loss 1158.00
time 00h 09m 07s, episodes 2559, frames 0.295473M, mean epr -311.59, run loss 1751.13
time 00h 09m 17s, episodes 2604, frames 0.299774M, mean epr -69.08, run loss 819.00
time 00h 09m 28s, episodes 2642, frames 0.304275M, mean epr -297.38, run loss 1225.02
time 00h 09m 38s, episodes 2656, frames 0.308537M, mean epr -283.67, run loss 1306.15
time 00h 09m 48s, episodes 2692, frames 0.312909M, mean epr -121.22, run loss 967.77
time 00h 09m 58s, episodes 2727, frames 0.317083M, mean epr -488.22, run loss 1641.86
time 00h 10m 09s, episodes 2766, frames 0.321572M, mean epr -244.25, run loss 1390.95
time 00h 10m 19s, episodes 2805, frames 0.325567M, mean epr -423.87, run loss 2416.60
time 00h 10m 30s, episodes 2836, frames 0.329786M, mean epr -397.43, run loss 1093.89
time 00h 10m 40s, episodes 2865, frames 0.334121M, mean epr -347.43, run loss 1745.15
time 00h 10m 51s, episodes 2903, frames 0.338249M, mean epr -77.91, run loss 867.64
time 00h 11m 01s, episodes 2931, frames 0.342532M, mean epr -218.47, run loss 1044.82
time 00h 11m 12s, episodes 2966, frames 0.346717M, mean epr -141.65, run loss 1170.16
time 00h 11m 22s, episodes 3008, frames 0.350991M, mean epr -175.33, run loss 1018.39
time 00h 11m 34s, episodes 3039, frames 0.355641M, mean epr -383.33, run loss 1459.25
time 00h 11m 45s, episodes 3063, frames 0.359931M, mean epr -290.49, run loss 1522.40
time 00h 11m 56s, episodes 3101, frames 0.364368M, mean epr -120.46, run loss 358.22
time 00h 12m 07s, episodes 3136, frames 0.368693M, mean epr -78.85, run loss 468.62
time 00h 12m 18s, episodes 3157, frames 0.372926M, mean epr -156.41, run loss 3157.70
time 00h 12m 28s, episodes 3185, frames 0.377246M, mean epr -49.66, run loss 354.79
time 00h 12m 39s, episodes 3216, frames 0.381376M, mean epr -245.01, run loss 3927.05
time 00h 12m 49s, episodes 3237, frames 0.385641M, mean epr -219.28, run loss 1952.08
time 00h 13m 00s, episodes 3258, frames 0.389914M, mean epr -112.63, run loss 1373.21
time 00h 13m 11s, episodes 3290, frames 0.394223M, mean epr -83.65, run loss 1941.21
time 00h 13m 21s, episodes 3325, frames 0.398274M, mean epr -220.30, run loss 728.27
time 00h 13m 32s, episodes 3350, frames 0.402432M, mean epr -56.27, run loss 950.60
time 00h 13m 42s, episodes 3375, frames 0.406694M, mean epr -164.11, run loss 1189.58
time 00h 13m 53s, episodes 3407, frames 0.411273M, mean epr -285.29, run loss 1785.26
time 00h 14m 04s, episodes 3428, frames 0.415635M, mean epr -179.35, run loss 1222.36
time 00h 14m 15s, episodes 3457, frames 0.419891M, mean epr -299.72, run loss 3025.54
time 00h 14m 25s, episodes 3469, frames 0.423800M, mean epr -311.52, run loss 1970.88
time 00h 14m 36s, episodes 3489, frames 0.428178M, mean epr -207.43, run loss 1658.19
time 00h 14m 46s, episodes 3515, frames 0.432752M, mean epr -63.05, run loss 1167.72
time 00h 14m 57s, episodes 3539, frames 0.437127M, mean epr -46.85, run loss 1809.87
time 00h 15m 07s, episodes 3558, frames 0.441133M, mean epr -216.49, run loss 2305.31
time 00h 15m 17s, episodes 3571, frames 0.445084M, mean epr -341.31, run loss 2219.89
time 00h 15m 29s, episodes 3613, frames 0.449754M, mean epr -182.28, run loss 3628.20
time 00h 15m 39s, episodes 3637, frames 0.453813M, mean epr -13.21, run loss 1909.07
time 00h 15m 49s, episodes 3655, frames 0.457908M, mean epr -85.56, run loss 1150.15
time 00h 15m 59s, episodes 3671, frames 0.462008M, mean epr -7.71, run loss 853.20
