time 00h 06m 18s, episodes 3351, frames 0.353518M, mean epr -62.64, run loss 663.76
time 00h 06m 23s, episodes 3371, frames 0.358184M, mean epr -278.93, run loss 3992.81
time 00h 06m 28s, episodes 3402, frames 0.362859M, mean epr -116.48, run loss 4186.92
time 00h 06m 33s, episodes 3430, frames 0.367723M, mean epr -180.97, run loss 1205.02
time 00h 06m 39s, episodes 3485, frames 0.372748M, mean epr -139.31, run loss 2807.70
time 00h 06m 44s, episodes 3526, frames 0.377700M, mean epr -101.06, run loss 1018.40
time 00h 06m 49s, episodes 3543, frames 0.382424M, mean epr -227.43, run loss 2171.45
time 00h 06m 54s, episodes 3594, frames 0.387125M, mean epr -275.16, run loss 741.63
time 00h 06m 59s, episodes 3643, frames 0.391945M, mean epr -24.90, run loss 613.46
time 00h 07m 04s, episodes 3687, frames 0.396652M, mean epr -170.00, run loss 607.33
time 00h 07m 09s, episodes 3716, frames 0.401409M, mean epr -76.28, run loss 2288.83
time 00h 07m 15s, episodes 3771, frames 0.406718M, mean epr -85.83, run loss 1108.35
time 00h 07m 20s, episodes 3828, frames 0.411903M, mean epr -61.50, run loss 1457.30
time 00h 07m 26s, episodes 3859, frames 0.416802M, mean epr -185.24, run loss 1392.89
time 00h 07m 31s, episodes 3892, frames 0.421674M, mean epr -23.26, run loss 745.02
time 00h 07m 36s, episodes 3916, frames 0.426533M, mean epr 17.24, run loss 3342.78
time 00h 07m 41s, episodes 3944, frames 0.431688M, mean epr -88.23, run loss 1996.14
time 00h 07m 46s, episodes 3966, frames 0.436508M, mean epr -249.33, run loss 1834.96
time 00h 07m 52s, episodes 3989, frames 0.441259M, mean epr -9.10, run loss 5719.07
time 00h 07m 57s, episodes 4024, frames 0.446053M, mean epr -297.07, run loss 1683.28
time 00h 08m 02s, episodes 4042, frames 0.450823M, mean epr 26.46, run loss 783.62
time 00h 08m 07s, episodes 4080, frames 0.456028M, mean epr -114.11, run loss 1686.05
time 00h 08m 12s, episodes 4105, frames 0.460810M, mean epr -206.35, run loss 1122.88
time 00h 08m 18s, episodes 4146, frames 0.465850M, mean epr -146.93, run loss 1371.23
time 00h 08m 23s, episodes 4168, frames 0.470534M, mean epr -164.89, run loss 1187.36
time 00h 08m 28s, episodes 4202, frames 0.475561M, mean epr -47.33, run loss 4398.22
time 00h 08m 33s, episodes 4230, frames 0.480704M, mean epr 27.80, run loss 1003.02
time 00h 08m 38s, episodes 4252, frames 0.485398M, mean epr -282.88, run loss 2389.14
time 00h 08m 44s, episodes 4270, frames 0.490386M, mean epr -153.65, run loss 1657.00
time 00h 08m 49s, episodes 4297, frames 0.495237M, mean epr -301.00, run loss 2257.74
time 00h 08m 54s, episodes 4327, frames 0.499900M, mean epr -91.71, run loss 2483.04
time 00h 08m 59s, episodes 4352, frames 0.504716M, mean epr -50.00, run loss 1143.14
time 00h 09m 05s, episodes 4365, frames 0.509846M, mean epr -56.57, run loss 1905.49
time 00h 09m 10s, episodes 4391, frames 0.515131M, mean epr 35.00, run loss 825.96
time 00h 09m 15s, episodes 4408, frames 0.520055M, mean epr 14.17, run loss 1631.60
time 00h 09m 21s, episodes 4430, frames 0.524954M, mean epr 46.49, run loss 3075.29
time 00h 09m 27s, episodes 4447, frames 0.530497M, mean epr 9.98, run loss 1791.00
time 00h 09m 32s, episodes 4464, frames 0.535541M, mean epr -214.95, run loss 3276.28
time 00h 09m 38s, episodes 4495, frames 0.540830M, mean epr -57.27, run loss 260.31
time 00h 09m 43s, episodes 4515, frames 0.546230M, mean epr -69.61, run loss 1498.60
time 00h 09m 49s, episodes 4532, frames 0.551196M, mean epr -173.13, run loss 3407.07
time 00h 09m 54s, episodes 4547, frames 0.555698M, mean epr -13.78, run loss 2226.77
time 00h 10m 00s, episodes 4564, frames 0.561007M, mean epr -51.47, run loss 2019.90
time 00h 10m 05s, episodes 4585, frames 0.565614M, mean epr -100.42, run loss 1654.90
time 00h 10m 10s, episodes 4610, frames 0.570342M, mean epr -32.10, run loss 2079.84
time 00h 10m 15s, episodes 4624, frames 0.574939M, mean epr 7.14, run loss 914.90
time 00h 10m 20s, episodes 4637, frames 0.580103M, mean epr -68.79, run loss 1912.91
time 00h 10m 26s, episodes 4652, frames 0.584967M, mean epr -161.18, run loss 3252.78
time 00h 10m 31s, episodes 4685, frames 0.590334M, mean epr -48.68, run loss 1399.50
time 00h 10m 36s, episodes 4705, frames 0.594814M, mean epr -194.21, run loss 1014.47
time 00h 10m 42s, episodes 4719, frames 0.599863M, mean epr -111.64, run loss 2565.75
time 00h 10m 47s, episodes 4745, frames 0.604512M, mean epr -34.69, run loss 470.60
time 00h 10m 53s, episodes 4759, frames 0.609492M, mean epr -50.58, run loss 1527.96
time 00h 10m 58s, episodes 4776, frames 0.614450M, mean epr -36.47, run loss 1680.34
time 00h 11m 03s, episodes 4790, frames 0.619439M, mean epr 36.35, run loss 2145.51
time 00h 11m 08s, episodes 4809, frames 0.624035M, mean epr -193.70, run loss 1751.15
time 00h 11m 13s, episodes 4815, frames 0.628589M, mean epr -1.06, run loss 2365.79
time 00h 11m 19s, episodes 4835, frames 0.633471M, mean epr -33.75, run loss 690.77
time 00h 11m 24s, episodes 4853, frames 0.638249M, mean epr -176.65, run loss 1715.66
time 00h 11m 30s, episodes 4885, frames 0.643354M, mean epr -2.40, run loss 655.90
time 00h 11m 35s, episodes 4900, frames 0.647865M, mean epr -246.28, run loss 2259.17
time 00h 11m 40s, episodes 4915, frames 0.652686M, mean epr -37.06, run loss 1550.60
time 00h 11m 45s, episodes 4938, frames 0.657194M, mean epr 43.57, run loss 438.61
time 00h 11m 50s, episodes 4951, frames 0.661682M, mean epr -223.65, run loss 1702.07
time 00h 11m 55s, episodes 4967, frames 0.666273M, mean epr -163.14, run loss 1719.33
time 00h 12m 00s, episodes 4976, frames 0.670805M, mean epr -106.24, run loss 2025.00
time 00h 12m 05s, episodes 4993, frames 0.675261M, mean epr -59.89, run loss 2564.76
time 00h 12m 10s, episodes 5006, frames 0.680315M, mean epr -263.49, run loss 2138.84
time 00h 12m 16s, episodes 5035, frames 0.685265M, mean epr 206.00, run loss 2004.78
time 00h 12m 22s, episodes 5043, frames 0.690492M, mean epr -124.38, run loss 958.58
time 00h 12m 27s, episodes 5070, frames 0.695289M, mean epr -48.92, run loss 2734.58
time 00h 12m 32s, episodes 5094, frames 0.699884M, mean epr -175.74, run loss 1353.58
time 00h 12m 37s, episodes 5113, frames 0.704738M, mean epr -113.05, run loss 1079.75
time 00h 12m 42s, episodes 5139, frames 0.709496M, mean epr -34.53, run loss 1767.55
time 00h 12m 47s, episodes 5159, frames 0.714148M, mean epr -43.93, run loss 1960.69
time 00h 12m 53s, episodes 5183, frames 0.719148M, mean epr -63.56, run loss 1144.55
time 00h 12m 58s, episodes 5194, frames 0.723779M, mean epr -275.71, run loss 2948.39
time 00h 13m 03s, episodes 5220, frames 0.728849M, mean epr -35.31, run loss 994.68
time 00h 13m 08s, episodes 5231, frames 0.733471M, mean epr -1.89, run loss 911.43
time 00h 13m 14s, episodes 5249, frames 0.738428M, mean epr -152.95, run loss 800.71
time 00h 13m 19s, episodes 5272, frames 0.743335M, mean epr -157.26, run loss 1180.41
time 00h 13m 24s, episodes 5286, frames 0.748006M, mean epr -27.27, run loss 976.92
time 00h 13m 30s, episodes 5297, frames 0.753275M, mean epr -18.96, run loss 2206.07
time 00h 13m 35s, episodes 5332, frames 0.758274M, mean epr -119.60, run loss 2662.85
time 00h 13m 40s, episodes 5348, frames 0.763309M, mean epr -10.37, run loss 1692.07
time 00h 13m 45s, episodes 5365, frames 0.768009M, mean epr -70.39, run loss 1961.37
time 00h 13m 51s, episodes 5385, frames 0.772936M, mean epr 1.40, run loss 2748.77
time 00h 13m 56s, episodes 5412, frames 0.778058M, mean epr 161.43, run loss 1359.90
time 00h 14m 01s, episodes 5433, frames 0.783063M, mean epr 23.15, run loss 1988.65
time 00h 14m 07s, episodes 5447, frames 0.788074M, mean epr -98.51, run loss 1635.87
time 00h 14m 13s, episodes 5468, frames 0.793286M, mean epr -37.79, run loss 2717.05
time 00h 14m 18s, episodes 5496, frames 0.798539M, mean epr -0.26, run loss 2296.60
time 00h 14m 24s, episodes 5515, frames 0.803721M, mean epr -210.89, run loss 2282.49
time 00h 14m 29s, episodes 5537, frames 0.808345M, mean epr -168.03, run loss 1793.90
time 00h 14m 34s, episodes 5549, frames 0.813541M, mean epr -144.89, run loss 2667.14
time 00h 14m 40s, episodes 5558, frames 0.818380M, mean epr -90.14, run loss 3741.06
time 00h 14m 45s, episodes 5582, frames 0.823335M, mean epr -26.23, run loss 2142.35
time 00h 14m 51s, episodes 5598, frames 0.828543M, mean epr -174.37, run loss 2444.77
time 00h 14m 56s, episodes 5618, frames 0.833232M, mean epr -71.61, run loss 2093.87
time 00h 15m 01s, episodes 5638, frames 0.838262M, mean epr -8.53, run loss 2164.18
time 00h 15m 06s, episodes 5660, frames 0.842910M, mean epr -103.32, run loss 1924.07
time 00h 15m 11s, episodes 5668, frames 0.847527M, mean epr 10.05, run loss 1952.69
time 00h 15m 16s, episodes 5683, frames 0.852151M, mean epr -26.67, run loss 2110.96
time 00h 15m 22s, episodes 5703, frames 0.857025M, mean epr 94.45, run loss 4654.12
time 00h 15m 27s, episodes 5737, frames 0.861956M, mean epr -40.47, run loss 1651.92
time 00h 15m 32s, episodes 5761, frames 0.866711M, mean epr 25.50, run loss 906.28
time 00h 15m 37s, episodes 5783, frames 0.871423M, mean epr 210.15, run loss 1264.98
time 00h 15m 42s, episodes 5797, frames 0.876318M, mean epr -177.76, run loss 2447.43
time 00h 15m 48s, episodes 5812, frames 0.881038M, mean epr -50.32, run loss 3065.82
time 00h 15m 53s, episodes 5834, frames 0.885824M, mean epr -61.62, run loss 1944.22
time 00h 15m 58s, episodes 5849, frames 0.890570M, mean epr -84.04, run loss 1328.16
time 00h 16m 03s, episodes 5868, frames 0.895329M, mean epr 207.26, run loss 2926.55
time 00h 16m 08s, episodes 5891, frames 0.900049M, mean epr 0.25, run loss 1965.43
time 00h 16m 13s, episodes 5910, frames 0.904820M, mean epr -43.09, run loss 962.47
time 00h 16m 18s, episodes 5942, frames 0.909564M, mean epr -67.09, run loss 1267.83
time 00h 16m 23s, episodes 5966, frames 0.914321M, mean epr -174.36, run loss 2610.04
time 00h 16m 28s, episodes 5994, frames 0.919130M, mean epr 14.68, run loss 1625.64
time 00h 16m 33s, episodes 6028, frames 0.923861M, mean epr 65.02, run loss 1469.95
time 00h 16m 38s, episodes 6052, frames 0.928595M, mean epr -21.61, run loss 1559.45
time 00h 16m 44s, episodes 6067, frames 0.933612M, mean epr -159.89, run loss 2414.59
time 00h 16m 49s, episodes 6085, frames 0.938841M, mean epr 4.80, run loss 1187.97
time 00h 16m 54s, episodes 6110, frames 0.943552M, mean epr -247.65, run loss 1893.84
time 00h 17m 00s, episodes 6133, frames 0.948504M, mean epr 23.24, run loss 1760.92
time 00h 17m 05s, episodes 6157, frames 0.953654M, mean epr -61.62, run loss 2041.82
time 00h 17m 10s, episodes 6171, frames 0.958613M, mean epr -100.79, run loss 5277.74
time 00h 17m 15s, episodes 6187, frames 0.963239M, mean epr 15.01, run loss 2357.32
time 00h 17m 20s, episodes 6221, frames 0.967959M, mean epr -29.92, run loss 749.07
time 00h 17m 26s, episodes 6252, frames 0.973321M, mean epr -51.73, run loss 1506.87
time 00h 17m 32s, episodes 6277, frames 0.978717M, mean epr -1.27, run loss 1608.36
time 00h 17m 37s, episodes 6297, frames 0.983842M, mean epr -55.76, run loss 2122.61
time 00h 17m 42s, episodes 6322, frames 0.988614M, mean epr -108.49, run loss 1734.67
time 00h 17m 47s, episodes 6339, frames 0.993223M, mean epr -5.89, run loss 2848.55
time 00h 17m 52s, episodes 6358, frames 0.997889M, mean epr -2.93, run loss 2128.06
time 00h 17m 57s, episodes 6381, frames 1.002573M, mean epr -74.88, run loss 2659.18
time 00h 18m 02s, episodes 6401, frames 1.007271M, mean epr 1.08, run loss 1820.06
time 00h 18m 07s, episodes 6426, frames 1.011960M, mean epr -150.26, run loss 1583.66
time 00h 18m 12s, episodes 6444, frames 1.016696M, mean epr -67.36, run loss 2454.21
time 00h 18m 18s, episodes 6470, frames 1.021759M, mean epr -5.28, run loss 1496.36
time 00h 18m 23s, episodes 6494, frames 1.026628M, mean epr 177.77, run loss 3248.13
time 00h 18m 28s, episodes 6513, frames 1.031679M, mean epr -46.42, run loss 1318.37
time 00h 18m 33s, episodes 6527, frames 1.036389M, mean epr 295.03, run loss 2348.17
time 00h 18m 39s, episodes 6538, frames 1.041387M, mean epr 72.46, run loss 2539.21
time 00h 18m 44s, episodes 6565, frames 1.046424M, mean epr 6.93, run loss 3617.38
time 00h 18m 50s, episodes 6593, frames 1.051982M, mean epr 39.14, run loss 1127.88
time 00h 18m 56s, episodes 6612, frames 1.057130M, mean epr 273.67, run loss 2432.59
time 00h 19m 01s, episodes 6627, frames 1.062211M, mean epr -202.55, run loss 3200.47
time 00h 19m 06s, episodes 6641, frames 1.066972M, mean epr -9.70, run loss 2356.41
