time 00h 00m 05s, episodes 3, frames 0.001455M, mean epr -469.95, run loss 2092.20
time 00h 00m 10s, episodes 32, frames 0.005800M, mean epr -438.51, run loss 1817.39
time 00h 00m 15s, episodes 67, frames 0.010609M, mean epr -521.62, run loss 1859.87
time 00h 00m 20s, episodes 116, frames 0.015663M, mean epr -457.02, run loss 1862.93
time 00h 00m 25s, episodes 168, frames 0.020497M, mean epr -737.87, run loss 3602.39
time 00h 00m 31s, episodes 220, frames 0.025643M, mean epr -533.92, run loss 1572.97
time 00h 00m 36s, episodes 272, frames 0.030643M, mean epr -581.45, run loss 1837.05
time 00h 00m 41s, episodes 323, frames 0.035775M, mean epr -666.72, run loss 2519.62
time 00h 00m 47s, episodes 366, frames 0.040696M, mean epr -545.32, run loss 2007.56
time 00h 00m 52s, episodes 406, frames 0.045421M, mean epr -654.45, run loss 3049.34
time 00h 00m 57s, episodes 462, frames 0.050322M, mean epr -205.88, run loss 779.67
time 00h 01m 03s, episodes 509, frames 0.055512M, mean epr -419.06, run loss 1923.39
time 00h 01m 08s, episodes 558, frames 0.060851M, mean epr -642.49, run loss 2431.69
time 00h 01m 13s, episodes 613, frames 0.065868M, mean epr -313.55, run loss 721.07
time 00h 01m 18s, episodes 666, frames 0.070572M, mean epr -528.15, run loss 2565.55
time 00h 01m 24s, episodes 709, frames 0.075334M, mean epr -695.85, run loss 2415.36
time 00h 01m 29s, episodes 748, frames 0.080312M, mean epr -430.34, run loss 2087.08
time 00h 01m 34s, episodes 794, frames 0.085081M, mean epr -831.52, run loss 3440.08
time 00h 01m 39s, episodes 841, frames 0.089962M, mean epr -191.62, run loss 753.84
time 00h 01m 44s, episodes 892, frames 0.095201M, mean epr -626.07, run loss 2421.18
time 00h 01m 50s, episodes 951, frames 0.100336M, mean epr -502.70, run loss 1808.70
time 00h 01m 55s, episodes 1011, frames 0.105085M, mean epr -467.43, run loss 1241.10
time 00h 02m 00s, episodes 1065, frames 0.109817M, mean epr -548.39, run loss 2171.78
time 00h 02m 05s, episodes 1129, frames 0.114605M, mean epr -546.69, run loss 2223.02
time 00h 02m 10s, episodes 1184, frames 0.119583M, mean epr -461.24, run loss 1820.64
time 00h 02m 16s, episodes 1233, frames 0.124668M, mean epr -529.74, run loss 2447.14
