time 00h 00m 05s, episodes 6, frames 0.001565M, mean epr -99.30, run loss 43.31
time 00h 00m 10s, episodes 42, frames 0.005584M, mean epr -232.61, run loss 1287.00
time 00h 00m 15s, episodes 90, frames 0.010682M, mean epr -86.16, run loss 499.79
time 00h 00m 20s, episodes 139, frames 0.016204M, mean epr -403.12, run loss 831.27
time 00h 00m 26s, episodes 184, frames 0.021353M, mean epr -520.50, run loss 1828.13
time 00h 00m 31s, episodes 229, frames 0.026500M, mean epr -646.31, run loss 5125.14
time 00h 00m 36s, episodes 265, frames 0.031528M, mean epr -546.26, run loss 2307.34
time 00h 00m 41s, episodes 312, frames 0.036942M, mean epr -573.97, run loss 2336.18
time 00h 00m 47s, episodes 364, frames 0.042428M, mean epr -367.61, run loss 1609.73
time 00h 00m 52s, episodes 409, frames 0.047945M, mean epr -563.90, run loss 2832.97
time 00h 00m 57s, episodes 461, frames 0.053431M, mean epr -474.46, run loss 2311.35
time 00h 01m 03s, episodes 516, frames 0.059062M, mean epr -445.91, run loss 2357.28
time 00h 01m 08s, episodes 562, frames 0.064333M, mean epr -477.22, run loss 2798.68
time 00h 01m 13s, episodes 606, frames 0.069499M, mean epr -250.15, run loss 1066.58
time 00h 01m 18s, episodes 642, frames 0.074685M, mean epr -442.40, run loss 1370.47
time 00h 01m 24s, episodes 694, frames 0.080460M, mean epr -314.62, run loss 464.72
time 00h 01m 29s, episodes 746, frames 0.086001M, mean epr -512.20, run loss 2790.55
time 00h 01m 34s, episodes 790, frames 0.091365M, mean epr -480.27, run loss 2181.70
time 00h 01m 40s, episodes 835, frames 0.096761M, mean epr -15.07, run loss 17.02
time 00h 01m 45s, episodes 871, frames 0.102600M, mean epr -358.35, run loss 2003.50
time 00h 01m 50s, episodes 902, frames 0.107618M, mean epr -477.82, run loss 2561.98
time 00h 01m 56s, episodes 935, frames 0.113146M, mean epr -320.10, run loss 1606.07
time 00h 02m 01s, episodes 966, frames 0.118423M, mean epr -454.38, run loss 1630.60
time 00h 02m 07s, episodes 1023, frames 0.124024M, mean epr -415.85, run loss 1243.38
time 00h 02m 12s, episodes 1058, frames 0.129411M, mean epr -65.95, run loss 459.87
time 00h 02m 18s, episodes 1091, frames 0.134833M, mean epr -448.01, run loss 2263.43
time 00h 02m 23s, episodes 1133, frames 0.140388M, mean epr -168.85, run loss 1216.06
time 00h 02m 28s, episodes 1174, frames 0.145643M, mean epr -385.27, run loss 3699.54
time 00h 02m 33s, episodes 1203, frames 0.150729M, mean epr -110.59, run loss 887.15
time 00h 02m 38s, episodes 1252, frames 0.155772M, mean epr -77.94, run loss 1049.70
time 00h 02m 43s, episodes 1290, frames 0.161025M, mean epr -163.92, run loss 650.57
