time 00h 12m 57s, episodes 2171, frames 0.257089M, mean epr -152.06, run loss 425.91
time 00h 13m 08s, episodes 2210, frames 0.260795M, mean epr -181.00, run loss 1357.55
time 00h 13m 19s, episodes 2236, frames 0.264548M, mean epr -248.40, run loss 789.67
time 00h 13m 30s, episodes 2259, frames 0.268276M, mean epr -170.19, run loss 1189.28
time 00h 13m 40s, episodes 2277, frames 0.271805M, mean epr -212.44, run loss 2054.51
time 00h 13m 51s, episodes 2298, frames 0.275617M, mean epr -163.59, run loss 2533.64
time 00h 14m 03s, episodes 2326, frames 0.279583M, mean epr -262.11, run loss 3048.11
time 00h 14m 13s, episodes 2349, frames 0.282969M, mean epr -221.65, run loss 2014.19
time 00h 14m 23s, episodes 2368, frames 0.286415M, mean epr -185.22, run loss 1546.05
time 00h 14m 34s, episodes 2386, frames 0.289843M, mean epr -239.70, run loss 1625.81
time 00h 14m 44s, episodes 2409, frames 0.293333M, mean epr -333.44, run loss 1906.50
time 00h 14m 55s, episodes 2425, frames 0.296825M, mean epr -78.73, run loss 1970.73
time 00h 15m 06s, episodes 2448, frames 0.300527M, mean epr -96.62, run loss 1815.07
time 00h 15m 17s, episodes 2488, frames 0.304464M, mean epr -40.42, run loss 997.68
time 00h 15m 28s, episodes 2521, frames 0.308064M, mean epr -21.98, run loss 278.66
time 00h 15m 38s, episodes 2538, frames 0.311700M, mean epr -163.39, run loss 1342.91
time 00h 15m 49s, episodes 2556, frames 0.315280M, mean epr -165.89, run loss 511.66
time 00h 15m 59s, episodes 2583, frames 0.318754M, mean epr 13.36, run loss 651.97
time 00h 16m 10s, episodes 2600, frames 0.322317M, mean epr -100.93, run loss 1289.12
time 00h 16m 20s, episodes 2619, frames 0.325684M, mean epr -243.75, run loss 1517.76
time 00h 16m 30s, episodes 2638, frames 0.329054M, mean epr -30.80, run loss 1050.92
time 00h 16m 42s, episodes 2665, frames 0.333145M, mean epr -94.28, run loss 2245.13
time 00h 16m 53s, episodes 2687, frames 0.336836M, mean epr -119.68, run loss 418.49
time 00h 17m 03s, episodes 2703, frames 0.340184M, mean epr -229.44, run loss 1654.55
time 00h 17m 13s, episodes 2724, frames 0.343657M, mean epr -77.69, run loss 908.54
time 00h 17m 23s, episodes 2747, frames 0.347166M, mean epr -141.08, run loss 1448.71
time 00h 17m 34s, episodes 2766, frames 0.350934M, mean epr -96.45, run loss 2375.13
time 00h 17m 44s, episodes 2781, frames 0.354387M, mean epr -100.87, run loss 2409.42
time 00h 17m 54s, episodes 2802, frames 0.357894M, mean epr 24.95, run loss 1976.05
time 00h 18m 05s, episodes 2829, frames 0.361426M, mean epr -40.31, run loss 722.86
time 00h 18m 16s, episodes 2851, frames 0.365398M, mean epr -32.96, run loss 1387.73
time 00h 18m 27s, episodes 2869, frames 0.368980M, mean epr -38.70, run loss 768.03
time 00h 18m 38s, episodes 2891, frames 0.372571M, mean epr 25.80, run loss 1003.47
time 00h 18m 48s, episodes 2911, frames 0.376158M, mean epr -160.48, run loss 1078.75
time 00h 18m 58s, episodes 2924, frames 0.379430M, mean epr -269.69, run loss 2282.46
time 00h 19m 08s, episodes 2939, frames 0.382809M, mean epr -90.74, run loss 1721.97
time 00h 19m 19s, episodes 2962, frames 0.386377M, mean epr -4.69, run loss 86.63
time 00h 19m 31s, episodes 2990, frames 0.390429M, mean epr -25.14, run loss 2161.48
time 00h 19m 43s, episodes 3006, frames 0.394581M, mean epr -80.19, run loss 973.22
time 00h 19m 54s, episodes 3034, frames 0.398354M, mean epr -20.48, run loss 846.95
time 00h 20m 05s, episodes 3049, frames 0.401916M, mean epr -54.57, run loss 947.11
time 00h 20m 15s, episodes 3061, frames 0.405423M, mean epr -147.18, run loss 4737.37
time 00h 20m 26s, episodes 3079, frames 0.408808M, mean epr -24.10, run loss 1033.34
time 00h 20m 36s, episodes 3096, frames 0.412401M, mean epr -151.12, run loss 1964.12
time 00h 20m 46s, episodes 3111, frames 0.415863M, mean epr -96.31, run loss 669.53
time 00h 20m 57s, episodes 3126, frames 0.419464M, mean epr -215.06, run loss 3013.35
time 00h 21m 07s, episodes 3141, frames 0.422884M, mean epr -298.16, run loss 2390.50
time 00h 21m 18s, episodes 3159, frames 0.426798M, mean epr -17.04, run loss 2044.96
time 00h 21m 29s, episodes 3177, frames 0.430514M, mean epr -239.21, run loss 2841.96
time 00h 21m 40s, episodes 3201, frames 0.434307M, mean epr -53.43, run loss 1703.83
time 00h 21m 51s, episodes 3216, frames 0.437844M, mean epr -28.99, run loss 930.57
time 00h 22m 01s, episodes 3229, frames 0.441414M, mean epr -35.58, run loss 1593.27
time 00h 22m 12s, episodes 3255, frames 0.444880M, mean epr -75.50, run loss 1043.11
time 00h 22m 22s, episodes 3270, frames 0.448435M, mean epr 12.93, run loss 675.80
time 00h 22m 33s, episodes 3285, frames 0.452186M, mean epr -20.63, run loss 1233.10
time 00h 22m 44s, episodes 3302, frames 0.455722M, mean epr -21.55, run loss 1298.10
time 00h 22m 54s, episodes 3320, frames 0.459240M, mean epr -79.13, run loss 1201.62
time 00h 23m 05s, episodes 3339, frames 0.462915M, mean epr -49.97, run loss 1845.36
time 00h 23m 15s, episodes 3343, frames 0.466420M, mean epr -44.48, run loss 2002.03
time 00h 23m 25s, episodes 3354, frames 0.469841M, mean epr 21.32, run loss 2304.46
time 00h 23m 35s, episodes 3372, frames 0.473367M, mean epr -175.73, run loss 2972.72
time 00h 23m 46s, episodes 3386, frames 0.477160M, mean epr -9.28, run loss 1893.57
time 00h 23m 56s, episodes 3397, frames 0.480608M, mean epr -77.23, run loss 1426.07
time 00h 24m 06s, episodes 3407, frames 0.484073M, mean epr -73.17, run loss 1836.99
time 00h 24m 17s, episodes 3418, frames 0.487706M, mean epr -128.19, run loss 4021.32
time 00h 24m 29s, episodes 3431, frames 0.491522M, mean epr -190.07, run loss 3351.14
time 00h 24m 39s, episodes 3443, frames 0.495270M, mean epr -239.67, run loss 4027.24
time 00h 24m 50s, episodes 3455, frames 0.498832M, mean epr -47.53, run loss 3309.48
time 00h 25m 00s, episodes 3471, frames 0.502272M, mean epr -15.52, run loss 694.94
time 00h 25m 11s, episodes 3482, frames 0.505968M, mean epr -235.06, run loss 3043.50
time 00h 25m 22s, episodes 3494, frames 0.509552M, mean epr -94.71, run loss 1121.85
time 00h 25m 32s, episodes 3501, frames 0.512816M, mean epr -24.15, run loss 1856.71
time 00h 25m 42s, episodes 3517, frames 0.516207M, mean epr 31.83, run loss 2458.05
time 00h 25m 52s, episodes 3530, frames 0.519673M, mean epr -87.20, run loss 1574.87
time 00h 26m 02s, episodes 3539, frames 0.523095M, mean epr 25.04, run loss 750.17
time 00h 26m 13s, episodes 3545, frames 0.526520M, mean epr 197.48, run loss 4494.30
time 00h 26m 24s, episodes 3566, frames 0.530379M, mean epr 18.59, run loss 440.14
time 00h 26m 36s, episodes 3575, frames 0.534493M, mean epr -4.70, run loss 1889.20
time 00h 26m 46s, episodes 3585, frames 0.537957M, mean epr 77.06, run loss 1587.26
time 00h 26m 58s, episodes 3591, frames 0.541661M, mean epr -50.62, run loss 3000.36
time 00h 27m 08s, episodes 3596, frames 0.545378M, mean epr -35.13, run loss 1141.58
time 00h 27m 19s, episodes 3606, frames 0.548892M, mean epr 9.57, run loss 846.60
time 00h 27m 29s, episodes 3612, frames 0.552320M, mean epr -78.18, run loss 2326.83
time 00h 27m 39s, episodes 3629, frames 0.555906M, mean epr -14.24, run loss 1846.34
time 00h 27m 50s, episodes 3641, frames 0.559569M, mean epr -64.55, run loss 3012.81
time 00h 28m 01s, episodes 3648, frames 0.563059M, mean epr -22.34, run loss 1896.86
time 00h 28m 11s, episodes 3662, frames 0.566567M, mean epr 5.27, run loss 2262.79
time 00h 28m 22s, episodes 3674, frames 0.570360M, mean epr -59.82, run loss 1324.83
time 00h 28m 33s, episodes 3679, frames 0.573995M, mean epr 35.84, run loss 2273.47
time 00h 28m 43s, episodes 3691, frames 0.577535M, mean epr 20.09, run loss 1983.59
time 00h 28m 54s, episodes 3698, frames 0.581015M, mean epr 3.98, run loss 3033.63
time 00h 29m 04s, episodes 3700, frames 0.584402M, mean epr -24.58, run loss 1383.86
time 00h 29m 14s, episodes 3706, frames 0.587829M, mean epr -19.25, run loss 903.96
time 00h 29m 25s, episodes 3713, frames 0.591634M, mean epr -243.44, run loss 3226.57
time 00h 29m 35s, episodes 3716, frames 0.594900M, mean epr -49.01, run loss 2019.83
time 00h 29m 45s, episodes 3721, frames 0.598269M, mean epr -260.03, run loss 4808.97
time 00h 29m 57s, episodes 3741, frames 0.602365M, mean epr 23.11, run loss 1405.88
time 00h 30m 07s, episodes 3754, frames 0.605768M, mean epr -181.07, run loss 2855.61
time 00h 30m 17s, episodes 3767, frames 0.609206M, mean epr 4.29, run loss 2143.52
time 00h 30m 27s, episodes 3777, frames 0.612633M, mean epr 17.49, run loss 1913.31
time 00h 30m 37s, episodes 3791, frames 0.616085M, mean epr -71.87, run loss 1576.75
time 00h 30m 47s, episodes 3809, frames 0.619572M, mean epr 18.48, run loss 2129.75
time 00h 30m 57s, episodes 3819, frames 0.623160M, mean epr 28.40, run loss 1594.75
time 00h 31m 09s, episodes 3834, frames 0.627110M, mean epr -165.81, run loss 3197.64
time 00h 31m 19s, episodes 3839, frames 0.630637M, mean epr -253.10, run loss 3637.00
time 00h 31m 29s, episodes 3853, frames 0.634099M, mean epr -60.68, run loss 2392.95
time 00h 31m 40s, episodes 3869, frames 0.637761M, mean epr 265.00, run loss 2748.49
time 00h 31m 50s, episodes 3881, frames 0.641484M, mean epr -33.98, run loss 2296.71
time 00h 32m 00s, episodes 3888, frames 0.645128M, mean epr 82.99, run loss 3159.22
time 00h 32m 11s, episodes 3901, frames 0.648597M, mean epr -1.91, run loss 2606.46
time 00h 32m 21s, episodes 3914, frames 0.652223M, mean epr -62.06, run loss 2345.65
time 00h 32m 33s, episodes 3928, frames 0.656235M, mean epr -53.18, run loss 2680.33
time 00h 32m 43s, episodes 3937, frames 0.659597M, mean epr -62.62, run loss 2360.66
time 00h 32m 53s, episodes 3954, frames 0.662984M, mean epr 83.80, run loss 1538.54
time 00h 33m 04s, episodes 3968, frames 0.666804M, mean epr -7.85, run loss 1534.37
time 00h 33m 14s, episodes 3971, frames 0.670249M, mean epr 273.46, run loss 1483.45
time 00h 33m 25s, episodes 3981, frames 0.673974M, mean epr -30.47, run loss 1965.97
time 00h 33m 35s, episodes 3996, frames 0.677409M, mean epr 77.60, run loss 4108.81
time 00h 33m 47s, episodes 4007, frames 0.681319M, mean epr 7.56, run loss 2297.95
time 00h 33m 57s, episodes 4022, frames 0.684639M, mean epr 54.12, run loss 1075.72
time 00h 34m 07s, episodes 4035, frames 0.688149M, mean epr -30.49, run loss 3342.00
time 00h 34m 19s, episodes 4045, frames 0.691938M, mean epr 237.76, run loss 3943.35
time 00h 34m 30s, episodes 4057, frames 0.695887M, mean epr -222.33, run loss 1362.95
time 00h 34m 41s, episodes 4072, frames 0.699530M, mean epr 229.00, run loss 2927.86
time 00h 34m 52s, episodes 4085, frames 0.703462M, mean epr -16.86, run loss 2020.43
time 00h 35m 03s, episodes 4097, frames 0.707067M, mean epr 279.89, run loss 1224.32
time 00h 35m 14s, episodes 4118, frames 0.710778M, mean epr -82.08, run loss 3069.35
time 00h 35m 24s, episodes 4131, frames 0.714355M, mean epr -246.85, run loss 2201.41
time 00h 35m 34s, episodes 4141, frames 0.717772M, mean epr -111.87, run loss 1927.72
time 00h 35m 45s, episodes 4154, frames 0.721257M, mean epr -18.52, run loss 2117.20
time 00h 35m 55s, episodes 4168, frames 0.724869M, mean epr 41.52, run loss 2236.49
time 00h 36m 06s, episodes 4174, frames 0.728507M, mean epr -72.67, run loss 3029.70
time 00h 36m 16s, episodes 4180, frames 0.731856M, mean epr -66.62, run loss 2572.45
time 00h 36m 27s, episodes 4201, frames 0.735428M, mean epr -44.39, run loss 2141.44
