time 00h 00m 10s, episodes 401, frames 0.0M, mean epr -204.08, run loss 491.06
time 00h 00m 20s, episodes 808, frames 0.1M, mean epr -441.74, run loss 1091.05
time 00h 00m 30s, episodes 1168, frames 0.1M, mean epr -553.98, run loss 1411.45
time 00h 00m 40s, episodes 1584, frames 0.2M, mean epr -577.69, run loss 1469.79
time 00h 00m 50s, episodes 1916, frames 0.2M, mean epr -320.98, run loss 1561.14
time 00h 01m 00s, episodes 2192, frames 0.3M, mean epr -212.59, run loss 1238.74
time 00h 01m 10s, episodes 2398, frames 0.3M, mean epr -188.76, run loss 1416.40
time 00h 01m 20s, episodes 2522, frames 0.3M, mean epr -172.59, run loss 1387.34
time 00h 01m 30s, episodes 2607, frames 0.4M, mean epr -160.21, run loss 1338.46
time 00h 01m 40s, episodes 2656, frames 0.4M, mean epr -149.88, run loss 1215.68
time 00h 01m 50s, episodes 2703, frames 0.4M, mean epr -125.91, run loss 1164.64
time 00h 02m 00s, episodes 2755, frames 0.4M, mean epr -134.60, run loss 1169.03
time 00h 02m 10s, episodes 2892, frames 0.4M, mean epr -168.83, run loss 1308.22
time 00h 02m 20s, episodes 3042, frames 0.5M, mean epr -175.89, run loss 1379.99
time 00h 02m 30s, episodes 3229, frames 0.5M, mean epr -154.87, run loss 1633.11
time 00h 02m 40s, episodes 3429, frames 0.6M, mean epr -164.15, run loss 1731.37
time 00h 02m 50s, episodes 3613, frames 0.6M, mean epr -169.79, run loss 1811.94
time 00h 03m 00s, episodes 3780, frames 0.6M, mean epr -147.06, run loss 1931.19
time 00h 03m 10s, episodes 3955, frames 0.7M, mean epr -114.64, run loss 2045.41
time 00h 03m 20s, episodes 4100, frames 0.7M, mean epr -109.47, run loss 2188.81
time 00h 03m 30s, episodes 4238, frames 0.8M, mean epr -101.74, run loss 2340.02
time 00h 03m 40s, episodes 4385, frames 0.8M, mean epr -101.32, run loss 2356.37
time 00h 03m 50s, episodes 4542, frames 0.9M, mean epr -96.58, run loss 2359.47
time 00h 04m 00s, episodes 4695, frames 0.9M, mean epr -87.82, run loss 2415.54
time 00h 04m 10s, episodes 4829, frames 0.9M, mean epr -65.00, run loss 2422.45
time 00h 04m 20s, episodes 4978, frames 1.0M, mean epr -51.32, run loss 2315.43
time 00h 04m 30s, episodes 5129, frames 1.0M, mean epr -65.44, run loss 2316.57
time 00h 04m 40s, episodes 5278, frames 1.1M, mean epr -64.43, run loss 2385.22
time 00h 04m 50s, episodes 5433, frames 1.1M, mean epr -57.34, run loss 2374.09
time 00h 05m 00s, episodes 5592, frames 1.2M, mean epr -52.21, run loss 2363.09
time 00h 05m 10s, episodes 5736, frames 1.2M, mean epr -45.34, run loss 2329.94
time 00h 05m 20s, episodes 5877, frames 1.2M, mean epr -30.19, run loss 2235.63
time 00h 05m 30s, episodes 6010, frames 1.3M, mean epr -18.16, run loss 2227.44
time 00h 05m 40s, episodes 6156, frames 1.3M, mean epr -22.92, run loss 2140.99
time 00h 05m 50s, episodes 6301, frames 1.4M, mean epr -17.87, run loss 2113.02
time 00h 06m 00s, episodes 6448, frames 1.4M, mean epr -20.76, run loss 2077.98
time 00h 06m 10s, episodes 6590, frames 1.5M, mean epr -10.15, run loss 2009.10
time 00h 06m 20s, episodes 6744, frames 1.5M, mean epr -6.20, run loss 1795.52
time 00h 06m 30s, episodes 6873, frames 1.5M, mean epr 0.04, run loss 1750.63
time 00h 06m 40s, episodes 7024, frames 1.6M, mean epr 7.87, run loss 1644.76
time 00h 06m 50s, episodes 7167, frames 1.6M, mean epr 20.12, run loss 1485.38
time 00h 07m 00s, episodes 7281, frames 1.7M, mean epr 10.32, run loss 1450.52
time 00h 07m 10s, episodes 7384, frames 1.7M, mean epr 14.27, run loss 1368.96
time 00h 07m 20s, episodes 7483, frames 1.7M, mean epr 18.97, run loss 1258.71
time 00h 07m 30s, episodes 7558, frames 1.8M, mean epr 50.82, run loss 1162.92
time 00h 07m 40s, episodes 7634, frames 1.8M, mean epr 67.31, run loss 1071.28
