
time 00h 06m 13s, episodes 597, frames 0.058835M, mean epr -112.83, run loss -2391.61
time 00h 06m 19s, episodes 602, frames 0.059729M, mean epr -113.70, run loss -1506.09
time 00h 06m 24s, episodes 608, frames 0.060566M, mean epr -111.04, run loss -1305.53
time 00h 06m 29s, episodes 613, frames 0.061385M, mean epr -116.20, run loss -1815.88
time 00h 06m 34s, episodes 616, frames 0.062195M, mean epr -123.08, run loss -3750.66
time 00h 06m 39s, episodes 621, frames 0.063021M, mean epr -113.39, run loss -1703.09
time 00h 06m 44s, episodes 629, frames 0.063932M, mean epr -116.81, run loss -2756.33
time 00h 06m 49s, episodes 635, frames 0.064735M, mean epr -121.93, run loss -3467.93
time 00h 06m 54s, episodes 639, frames 0.065552M, mean epr -123.62, run loss -3664.36
time 00h 06m 59s, episodes 643, frames 0.066352M, mean epr -120.66, run loss -3909.92
time 00h 07m 04s, episodes 649, frames 0.067164M, mean epr -116.53, run loss -2623.58
time 00h 07m 09s, episodes 654, frames 0.067949M, mean epr -117.45, run loss -1722.77
time 00h 07m 14s, episodes 660, frames 0.068750M, mean epr -118.60, run loss -1800.95
time 00h 07m 19s, episodes 664, frames 0.069585M, mean epr -115.56, run loss -3256.61
time 00h 07m 25s, episodes 671, frames 0.070480M, mean epr -118.35, run loss -3198.45
time 00h 07m 30s, episodes 674, frames 0.071294M, mean epr -112.90, run loss -2422.86
time 00h 07m 35s, episodes 676, frames 0.072096M, mean epr -118.95, run loss -4532.15
time 00h 07m 40s, episodes 680, frames 0.072945M, mean epr -117.02, run loss -1938.68
time 00h 07m 45s, episodes 681, frames 0.073811M, mean epr -110.94, run loss -1852.37
time 00h 07m 51s, episodes 684, frames 0.074635M, mean epr -134.47, run loss -6613.88
time 00h 07m 56s, episodes 685, frames 0.075473M, mean epr -128.07, run loss -3131.88
time 00h 08m 01s, episodes 688, frames 0.076376M, mean epr -109.89, run loss -1632.43
time 00h 08m 06s, episodes 689, frames 0.077180M, mean epr -112.18, run loss -2169.96
time 00h 08m 11s, episodes 691, frames 0.077994M, mean epr -112.62, run loss -1708.19
time 00h 08m 16s, episodes 693, frames 0.078791M, mean epr -117.35, run loss -2506.96
time 00h 08m 21s, episodes 694, frames 0.079599M, mean epr -114.05, run loss -2651.02
time 00h 08m 26s, episodes 694, frames 0.080414M, mean epr -114.05, run loss -2651.02
time 00h 08m 32s, episodes 694, frames 0.081337M, mean epr -114.05, run loss -2651.02
time 00h 08m 37s, episodes 694, frames 0.082140M, mean epr -114.05, run loss -2651.02
time 00h 08m 42s, episodes 694, frames 0.082962M, mean epr -114.05, run loss -2651.02
time 00h 08m 47s, episodes 694, frames 0.083788M, mean epr -114.05, run loss -2651.02
time 00h 08m 52s, episodes 694, frames 0.084682M, mean epr -114.05, run loss -2651.02
time 00h 08m 57s, episodes 694, frames 0.085503M, mean epr -114.05, run loss -2651.02
time 00h 09m 02s, episodes 694, frames 0.086332M, mean epr -114.05, run loss -2651.02
time 00h 09m 08s, episodes 694, frames 0.087221M, mean epr -114.05, run loss -2651.02
time 00h 09m 13s, episodes 694, frames 0.088048M, mean epr -114.05, run loss -2651.02
time 00h 09m 18s, episodes 696, frames 0.088845M, mean epr -105.11, run loss -1276.06
time 00h 09m 23s, episodes 697, frames 0.089680M, mean epr -122.00, run loss -2972.93
time 00h 09m 28s, episodes 698, frames 0.090490M, mean epr -123.52, run loss -4480.68
time 00h 09m 34s, episodes 698, frames 0.091392M, mean epr -123.52, run loss -4480.68
