
time 00h 13m 24s, episodes 2357, frames 0.235976M, mean epr -464.67, run loss 1979.64
time 00h 13m 36s, episodes 2393, frames 0.240220M, mean epr -432.10, run loss 2821.13
time 00h 13m 47s, episodes 2419, frames 0.243907M, mean epr -377.03, run loss 2060.36
time 00h 13m 59s, episodes 2464, frames 0.248082M, mean epr -70.82, run loss 209.95
time 00h 14m 09s, episodes 2499, frames 0.251683M, mean epr -266.79, run loss 1279.75
time 00h 14m 21s, episodes 2516, frames 0.255640M, mean epr -175.10, run loss 839.59
time 00h 14m 31s, episodes 2540, frames 0.259228M, mean epr -358.70, run loss 1345.40
time 00h 14m 41s, episodes 2580, frames 0.262707M, mean epr -287.15, run loss 1047.71
time 00h 14m 51s, episodes 2600, frames 0.266050M, mean epr -331.58, run loss 1861.21
time 00h 15m 02s, episodes 2625, frames 0.270074M, mean epr -196.85, run loss 1368.15
time 00h 15m 12s, episodes 2657, frames 0.273449M, mean epr -707.35, run loss 2399.28
time 00h 15m 22s, episodes 2682, frames 0.276825M, mean epr -629.78, run loss 2374.12
time 00h 15m 33s, episodes 2704, frames 0.280320M, mean epr -298.15, run loss 1390.70
time 00h 15m 43s, episodes 2737, frames 0.284033M, mean epr -70.92, run loss 337.83
time 00h 15m 53s, episodes 2753, frames 0.287540M, mean epr -97.43, run loss 341.31
time 00h 16m 03s, episodes 2776, frames 0.290961M, mean epr -90.86, run loss 2076.99
time 00h 16m 14s, episodes 2805, frames 0.294633M, mean epr -265.90, run loss 543.96
time 00h 16m 24s, episodes 2835, frames 0.298010M, mean epr -361.43, run loss 1358.11
time 00h 16m 34s, episodes 2847, frames 0.301464M, mean epr -272.86, run loss 850.85
time 00h 16m 45s, episodes 2877, frames 0.305414M, mean epr -270.67, run loss 851.15
time 00h 16m 55s, episodes 2900, frames 0.308781M, mean epr -228.99, run loss 1753.35
time 00h 17m 06s, episodes 2927, frames 0.312299M, mean epr -61.52, run loss 1223.68
time 00h 17m 18s, episodes 2968, frames 0.316644M, mean epr -265.52, run loss 2561.30
time 00h 17m 29s, episodes 2980, frames 0.320327M, mean epr -317.12, run loss 1439.67
time 00h 17m 41s, episodes 2999, frames 0.324311M, mean epr -353.66, run loss 1903.75
time 00h 17m 51s, episodes 3034, frames 0.327803M, mean epr -409.68, run loss 2118.57
time 00h 18m 03s, episodes 3054, frames 0.331787M, mean epr -258.95, run loss 1006.25
time 00h 18m 13s, episodes 3068, frames 0.335409M, mean epr -108.84, run loss 1637.44
time 00h 18m 24s, episodes 3090, frames 0.338948M, mean epr -115.58, run loss 4510.05
time 00h 18m 34s, episodes 3109, frames 0.342368M, mean epr -332.22, run loss 2241.17
time 00h 18m 44s, episodes 3127, frames 0.345900M, mean epr 6.65, run loss 779.13
time 00h 18m 54s, episodes 3146, frames 0.349459M, mean epr -212.01, run loss 1688.52
time 00h 19m 06s, episodes 3162, frames 0.353426M, mean epr -243.05, run loss 1416.97
time 00h 19m 16s, episodes 3174, frames 0.356867M, mean epr -304.32, run loss 3617.25
time 00h 19m 28s, episodes 3203, frames 0.360697M, mean epr -93.08, run loss 1400.43
time 00h 19m 39s, episodes 3222, frames 0.364516M, mean epr -179.26, run loss 982.08
time 00h 19m 50s, episodes 3234, frames 0.368236M, mean epr -76.93, run loss 2623.87
time 00h 20m 01s, episodes 3259, frames 0.372294M, mean epr -217.12, run loss 2182.94
time 00h 20m 11s, episodes 3274, frames 0.375838M, mean epr 38.59, run loss 1070.50
time 00h 20m 23s, episodes 3294, frames 0.379961M, mean epr -122.09, run loss 3020.68
time 00h 20m 35s, episodes 3322, frames 0.384024M, mean epr -128.48, run loss 794.04
time 00h 20m 45s, episodes 3330, frames 0.387495M, mean epr -312.04, run loss 1646.07
time 00h 20m 55s, episodes 3334, frames 0.391088M, mean epr -117.09, run loss 1652.85
time 00h 21m 06s, episodes 3350, frames 0.394630M, mean epr 54.92, run loss 1554.92
time 00h 21m 18s, episodes 3374, frames 0.398947M, mean epr -191.02, run loss 1164.34
time 00h 21m 28s, episodes 3381, frames 0.402296M, mean epr -117.91, run loss 3719.51
time 00h 21m 39s, episodes 3400, frames 0.406044M, mean epr 14.06, run loss 3668.32
time 00h 21m 50s, episodes 3426, frames 0.409816M, mean epr -55.40, run loss 1236.50
time 00h 22m 00s, episodes 3434, frames 0.413218M, mean epr -69.59, run loss 665.00
time 00h 22m 10s, episodes 3447, frames 0.416657M, mean epr -181.06, run loss 2623.62
time 00h 22m 20s, episodes 3466, frames 0.420121M, mean epr -264.17, run loss 3090.65
time 00h 22m 30s, episodes 3476, frames 0.423597M, mean epr -36.94, run loss 2733.41
time 00h 22m 42s, episodes 3491, frames 0.427506M, mean epr -55.48, run loss 1484.84
time 00h 22m 53s, episodes 3510, frames 0.431272M, mean epr -49.46, run loss 2025.87
time 00h 23m 03s, episodes 3517, frames 0.434732M, mean epr -47.70, run loss 1390.85
time 00h 23m 13s, episodes 3528, frames 0.438171M, mean epr -80.08, run loss 1394.49
time 00h 23m 25s, episodes 3545, frames 0.442119M, mean epr -239.83, run loss 1847.03
time 00h 23m 36s, episodes 3557, frames 0.445682M, mean epr -201.82, run loss 2182.03
time 00h 23m 47s, episodes 3569, frames 0.449535M, mean epr -134.43, run loss 1519.52
time 00h 23m 58s, episodes 3585, frames 0.453262M, mean epr -161.37, run loss 2314.46
time 00h 24m 10s, episodes 3610, frames 0.457143M, mean epr -20.02, run loss 214.52
time 00h 24m 20s, episodes 3622, frames 0.460666M, mean epr 8.13, run loss 570.66
time 00h 24m 31s, episodes 3634, frames 0.464186M, mean epr -200.88, run loss 2047.93
time 00h 24m 41s, episodes 3650, frames 0.467668M, mean epr -8.20, run loss 1352.18
time 00h 24m 51s, episodes 3660, frames 0.471077M, mean epr -5.52, run loss 1411.73
time 00h 25m 02s, episodes 3669, frames 0.474841M, mean epr -189.02, run loss 2588.13
time 00h 25m 14s, episodes 3682, frames 0.478649M, mean epr -43.31, run loss 1803.63
time 00h 25m 24s, episodes 3692, frames 0.482079M, mean epr -187.71, run loss 1741.82
time 00h 25m 34s, episodes 3712, frames 0.485441M, mean epr -36.05, run loss 2489.11
time 00h 25m 44s, episodes 3721, frames 0.488854M, mean epr -29.74, run loss 1394.30
time 00h 25m 54s, episodes 3739, frames 0.492216M, mean epr -146.47, run loss 1679.72
time 00h 26m 05s, episodes 3751, frames 0.495751M, mean epr -53.34, run loss 879.96
time 00h 26m 16s, episodes 3767, frames 0.499404M, mean epr -33.22, run loss 885.67
time 00h 26m 26s, episodes 3779, frames 0.502763M, mean epr -180.29, run loss 1537.70
time 00h 26m 37s, episodes 3805, frames 0.506439M, mean epr -127.34, run loss 1533.81
time 00h 26m 47s, episodes 3825, frames 0.509941M, mean epr -15.18, run loss 106.90
time 00h 26m 57s, episodes 3831, frames 0.513343M, mean epr -128.54, run loss 2121.35
time 00h 27m 07s, episodes 3847, frames 0.516757M, mean epr -133.06, run loss 954.32
time 00h 27m 18s, episodes 3864, frames 0.520404M, mean epr -49.52, run loss 1544.62
time 00h 27m 28s, episodes 3880, frames 0.523942M, mean epr -208.55, run loss 1572.50
time 00h 27m 40s, episodes 3897, frames 0.527972M, mean epr 280.81, run loss 860.73
