time 00h 00m 05s, episodes 5, frames 0.001362M, mean epr -246.74, run loss 1075.54
time 00h 00m 10s, episodes 52, frames 0.006487M, mean epr -44.24, run loss 868.28
time 00h 00m 16s, episodes 96, frames 0.012053M, mean epr -427.03, run loss 2591.18
time 00h 00m 21s, episodes 136, frames 0.017586M, mean epr -439.73, run loss 2438.00
time 00h 00m 26s, episodes 172, frames 0.022842M, mean epr -895.62, run loss 4443.03
time 00h 00m 31s, episodes 215, frames 0.028410M, mean epr -394.52, run loss 1918.28
time 00h 00m 36s, episodes 273, frames 0.033799M, mean epr -402.20, run loss 1817.08
time 00h 00m 42s, episodes 324, frames 0.039191M, mean epr -454.36, run loss 1760.95
time 00h 00m 47s, episodes 367, frames 0.044705M, mean epr -412.40, run loss 2076.33
time 00h 00m 52s, episodes 415, frames 0.050220M, mean epr -198.44, run loss 937.42
time 00h 00m 58s, episodes 470, frames 0.055997M, mean epr -671.97, run loss 2609.11
time 00h 01m 03s, episodes 524, frames 0.061415M, mean epr -376.76, run loss 1425.87
time 00h 01m 08s, episodes 569, frames 0.066867M, mean epr -548.13, run loss 2334.57
time 00h 01m 13s, episodes 617, frames 0.072512M, mean epr -426.54, run loss 1742.17
time 00h 01m 18s, episodes 663, frames 0.077840M, mean epr -361.27, run loss 1423.21
time 00h 01m 23s, episodes 717, frames 0.083303M, mean epr -533.03, run loss 2000.36
time 00h 01m 29s, episodes 774, frames 0.088936M, mean epr -92.43, run loss 516.70
time 00h 01m 34s, episodes 821, frames 0.094381M, mean epr -479.49, run loss 1975.27
time 00h 01m 39s, episodes 856, frames 0.099755M, mean epr -500.09, run loss 2166.82
time 00h 01m 44s, episodes 899, frames 0.105071M, mean epr -206.05, run loss 990.90
time 00h 01m 49s, episodes 948, frames 0.110750M, mean epr -399.02, run loss 1035.98
time 00h 01m 55s, episodes 989, frames 0.116318M, mean epr -407.31, run loss 1608.01
time 00h 02m 00s, episodes 1030, frames 0.121893M, mean epr -490.01, run loss 2380.90
time 00h 02m 05s, episodes 1068, frames 0.127300M, mean epr -502.37, run loss 2545.11
time 00h 02m 10s, episodes 1122, frames 0.132838M, mean epr -301.14, run loss 1115.22
time 00h 02m 15s, episodes 1157, frames 0.138329M, mean epr -280.24, run loss 1521.86
time 00h 02m 20s, episodes 1191, frames 0.143555M, mean epr -306.42, run loss 1059.09
time 00h 02m 25s, episodes 1223, frames 0.148909M, mean epr -300.43, run loss 1410.04
time 00h 02m 30s, episodes 1271, frames 0.154224M, mean epr -387.19, run loss 1549.28
time 00h 02m 36s, episodes 1320, frames 0.159656M, mean epr 19.37, run loss 693.67
time 00h 02m 41s, episodes 1367, frames 0.165391M, mean epr -559.50, run loss 2166.15
time 00h 02m 46s, episodes 1407, frames 0.170723M, mean epr -28.28, run loss 1353.83
time 00h 02m 51s, episodes 1440, frames 0.176162M, mean epr -219.07, run loss 1003.69
time 00h 02m 56s, episodes 1485, frames 0.181742M, mean epr -227.76, run loss 853.03
time 00h 03m 01s, episodes 1517, frames 0.187049M, mean epr -166.13, run loss 846.81
time 00h 03m 07s, episodes 1556, frames 0.192601M, mean epr -328.65, run loss 3101.32
time 00h 03m 12s, episodes 1601, frames 0.198275M, mean epr -308.76, run loss 1809.55
time 00h 03m 17s, episodes 1629, frames 0.203949M, mean epr -219.21, run loss 1548.64
time 00h 03m 23s, episodes 1672, frames 0.209563M, mean epr -219.78, run loss 884.48
time 00h 03m 28s, episodes 1700, frames 0.215317M, mean epr -112.55, run loss 2423.97
time 00h 03m 34s, episodes 1742, frames 0.221165M, mean epr -329.93, run loss 2691.82
time 00h 03m 39s, episodes 1776, frames 0.226744M, mean epr -189.34, run loss 1188.91
time 00h 03m 44s, episodes 1809, frames 0.232092M, mean epr -158.96, run loss 486.49
time 00h 03m 49s, episodes 1840, frames 0.237507M, mean epr -66.64, run loss 684.98
time 00h 03m 54s, episodes 1880, frames 0.242971M, mean epr -51.54, run loss 778.67
time 00h 04m 00s, episodes 1901, frames 0.248514M, mean epr -238.61, run loss 2963.91
time 00h 04m 05s, episodes 1950, frames 0.253978M, mean epr -91.45, run loss 413.49
time 00h 04m 10s, episodes 1995, frames 0.259665M, mean epr 37.54, run loss 1203.72
time 00h 04m 15s, episodes 2019, frames 0.265111M, mean epr -5.57, run loss 910.29
time 00h 04m 20s, episodes 2058, frames 0.270488M, mean epr -385.98, run loss 3976.57
time 00h 04m 26s, episodes 2086, frames 0.276091M, mean epr -45.88, run loss 814.64
time 00h 04m 31s, episodes 2111, frames 0.281643M, mean epr 40.76, run loss 700.39
time 00h 04m 36s, episodes 2145, frames 0.287252M, mean epr -277.25, run loss 2100.41
time 00h 04m 41s, episodes 2172, frames 0.292679M, mean epr -79.04, run loss 1483.82
time 00h 04m 47s, episodes 2206, frames 0.298411M, mean epr -235.34, run loss 3201.32
time 00h 04m 52s, episodes 2222, frames 0.303825M, mean epr -52.93, run loss 2284.17
time 00h 04m 57s, episodes 2258, frames 0.309351M, mean epr -203.15, run loss 1023.57
time 00h 05m 02s, episodes 2278, frames 0.314863M, mean epr -225.79, run loss 1178.56
time 00h 05m 08s, episodes 2304, frames 0.320209M, mean epr -112.59, run loss 2263.48
time 00h 05m 13s, episodes 2326, frames 0.325655M, mean epr -162.78, run loss 2246.17
time 00h 05m 18s, episodes 2353, frames 0.330889M, mean epr 15.65, run loss 1633.66
time 00h 05m 23s, episodes 2371, frames 0.336310M, mean epr -155.94, run loss 1368.70
time 00h 05m 28s, episodes 2384, frames 0.341957M, mean epr -120.15, run loss 2214.34
time 00h 05m 34s, episodes 2415, frames 0.347593M, mean epr -232.95, run loss 2360.26
time 00h 05m 39s, episodes 2439, frames 0.353282M, mean epr -82.14, run loss 2866.96
time 00h 05m 45s, episodes 2454, frames 0.358895M, mean epr -280.35, run loss 2404.26
time 00h 05m 50s, episodes 2476, frames 0.364512M, mean epr -194.16, run loss 1575.14
time 00h 05m 55s, episodes 2492, frames 0.369758M, mean epr -149.69, run loss 667.31
time 00h 06m 01s, episodes 2508, frames 0.375388M, mean epr 173.76, run loss 1689.02
time 00h 06m 06s, episodes 2530, frames 0.380972M, mean epr -168.17, run loss 1779.85
time 00h 06m 11s, episodes 2546, frames 0.386650M, mean epr -98.44, run loss 1467.85
time 00h 06m 16s, episodes 2565, frames 0.391819M, mean epr 9.35, run loss 1233.12
