time 00h 00m 10s, episodes 12, frames 0.002384M, mean epr -401.10, run loss 1496.09
time 00h 00m 20s, episodes 34, frames 0.004760M, mean epr -353.25, run loss 844.57
time 00h 00m 30s, episodes 58, frames 0.007777M, mean epr -466.94, run loss 2186.08
time 00h 00m 40s, episodes 77, frames 0.011665M, mean epr -463.61, run loss 2299.41
time 00h 00m 50s, episodes 122, frames 0.015947M, mean epr -524.44, run loss 2229.81
time 00h 01m 00s, episodes 161, frames 0.020454M, mean epr -345.85, run loss 1805.45
time 00h 01m 10s, episodes 203, frames 0.025086M, mean epr -650.01, run loss 2917.58
time 00h 01m 21s, episodes 250, frames 0.029717M, mean epr -120.56, run loss 188.95
time 00h 01m 32s, episodes 291, frames 0.034020M, mean epr -625.45, run loss 2547.54
time 00h 01m 42s, episodes 326, frames 0.037581M, mean epr -403.54, run loss 943.44
time 00h 01m 52s, episodes 366, frames 0.041857M, mean epr -571.00, run loss 2175.22
time 00h 02m 03s, episodes 405, frames 0.045727M, mean epr -422.52, run loss 1970.39
time 00h 02m 13s, episodes 434, frames 0.049554M, mean epr -613.67, run loss 2600.50
time 00h 02m 24s, episodes 460, frames 0.052991M, mean epr -90.59, run loss 2601.48
time 00h 02m 35s, episodes 490, frames 0.056599M, mean epr -487.14, run loss 2332.81
time 00h 02m 46s, episodes 515, frames 0.060018M, mean epr -476.62, run loss 2640.93
time 00h 02m 56s, episodes 534, frames 0.063467M, mean epr -81.46, run loss 134.62
time 00h 03m 07s, episodes 567, frames 0.066974M, mean epr -638.68, run loss 2865.04
time 00h 03m 18s, episodes 610, frames 0.070429M, mean epr -715.69, run loss 2143.42
time 00h 03m 28s, episodes 647, frames 0.073905M, mean epr -369.01, run loss 1158.27
time 00h 03m 39s, episodes 684, frames 0.077263M, mean epr -620.10, run loss 2749.82
time 00h 03m 49s, episodes 716, frames 0.080590M, mean epr -309.84, run loss 1118.64
time 00h 04m 00s, episodes 745, frames 0.083922M, mean epr -461.77, run loss 2619.55
time 00h 04m 10s, episodes 780, frames 0.087134M, mean epr 43.09, run loss 581.03
time 00h 04m 20s, episodes 807, frames 0.090424M, mean epr -273.70, run loss 1876.84
time 00h 04m 31s, episodes 831, frames 0.093800M, mean epr -762.92, run loss 6419.03
time 00h 04m 42s, episodes 860, frames 0.097350M, mean epr -711.01, run loss 2261.72
time 00h 04m 53s, episodes 887, frames 0.100983M, mean epr -319.88, run loss 2053.31
time 00h 05m 05s, episodes 907, frames 0.104455M, mean epr -484.44, run loss 2592.48
time 00h 05m 15s, episodes 948, frames 0.107697M, mean epr -412.32, run loss 2034.05
time 00h 05m 26s, episodes 983, frames 0.110870M, mean epr -303.40, run loss 1670.35
time 00h 05m 37s, episodes 1014, frames 0.114276M, mean epr -246.74, run loss 1260.49
time 00h 05m 47s, episodes 1045, frames 0.117553M, mean epr -186.12, run loss 541.65
time 00h 05m 59s, episodes 1082, frames 0.121088M, mean epr -644.08, run loss 2818.31
time 00h 06m 09s, episodes 1114, frames 0.124252M, mean epr -367.15, run loss 2476.96
time 00h 06m 20s, episodes 1146, frames 0.127603M, mean epr -543.79, run loss 4497.47
time 00h 06m 30s, episodes 1174, frames 0.130767M, mean epr -629.15, run loss 3191.80
time 00h 06m 40s, episodes 1195, frames 0.133834M, mean epr -195.53, run loss 475.45
time 00h 06m 50s, episodes 1219, frames 0.137000M, mean epr -209.43, run loss 1197.43
time 00h 07m 01s, episodes 1248, frames 0.140403M, mean epr -170.02, run loss 1336.47
time 00h 07m 11s, episodes 1274, frames 0.143506M, mean epr -385.64, run loss 4841.35
time 00h 07m 22s, episodes 1303, frames 0.146923M, mean epr -361.16, run loss 2363.51
time 00h 07m 32s, episodes 1319, frames 0.150116M, mean epr -337.53, run loss 2137.20
time 00h 07m 42s, episodes 1341, frames 0.153283M, mean epr -285.51, run loss 1719.27
time 00h 07m 52s, episodes 1373, frames 0.156445M, mean epr -356.21, run loss 1186.57
time 00h 08m 04s, episodes 1421, frames 0.160123M, mean epr -506.17, run loss 2390.02
time 00h 08m 14s, episodes 1466, frames 0.163357M, mean epr -252.73, run loss 669.13
time 00h 08m 25s, episodes 1498, frames 0.166562M, mean epr -514.51, run loss 1687.94
time 00h 08m 35s, episodes 1526, frames 0.169778M, mean epr -619.11, run loss 2958.89
time 00h 08m 46s, episodes 1562, frames 0.172998M, mean epr -400.65, run loss 1491.39
time 00h 08m 56s, episodes 1572, frames 0.176328M, mean epr -167.69, run loss 594.64
